date,weekday,total,learnfair,learnlab,devlab,prioritylab,scavenge,other
2021-06-14 21:30:25.799302,0,14212,5500,7043,621,803,245,3163
2021-06-14 21:45:27.959726,0,14538,5567,6880,620,843,628,3162
2021-06-14 22:00:30.713871,0,14296,5644,6943,620,777,312,3305
2021-06-14 22:15:33.090367,0,14441,5630,6829,684,777,521,3402
2021-06-14 22:30:34.891548,0,14240,5517,6761,683,766,513,3450
2021-06-14 22:45:40.588460,0,14278,5522,6759,675,766,556,3548
2021-06-14 23:00:44.073218,0,14162,5386,6716,723,822,515,3764
2021-06-14 23:15:52.283883,0,14142,5393,6647,757,914,431,3747
2021-06-14 23:30:54.952180,0,14222,5304,6765,793,918,442,3767
2021-06-14 23:45:57.279763,0,14101,5191,6787,725,930,468,3773
2021-06-15 00:01:00.079997,1,14226,5185,6953,707,929,452,3798
2021-06-15 00:16:08.744474,1,14276,5175,7045,707,929,420,3833
2021-06-15 00:31:11.630705,1,14276,5149,7043,715,929,440,3714
2021-06-15 00:46:13.405071,1,14475,5474,7012,707,865,417,3653
2021-06-15 01:01:18.288078,1,14621,5551,6953,701,993,423,3552
2021-06-15 01:16:21.024462,1,14506,5529,6904,675,993,405,3622
2021-06-15 01:31:27.065866,1,14542,5471,6955,683,993,440,3589
2021-06-15 01:46:38.644773,1,14300,5189,7007,691,993,420,3556
2021-06-15 02:01:43.037010,1,14369,5141,7005,706,993,524,3807
2021-06-15 02:16:44.831644,1,14465,5318,7010,674,993,470,3395
2021-06-15 02:31:46.441739,1,14328,5175,7032,664,993,464,3443
2021-06-15 02:46:48.290537,1,14676,5532,6943,730,1025,446,3346
2021-06-15 03:01:50.099674,1,14715,5690,6911,730,1017,367,3570
2021-06-15 03:16:56.432925,1,14251,5229,6851,730,1017,424,3682
2021-06-15 03:31:58.642154,1,14018,4957,6894,728,1017,422,3805
2021-06-15 03:47:00.619535,1,14051,5080,6867,725,953,426,3875
2021-06-15 04:02:02.043941,1,14149,5096,6914,724,953,462,3870
2021-06-15 04:17:04.454557,1,14116,5037,7012,735,937,395,3870
2021-06-15 04:32:07.345982,1,13842,4779,6995,716,937,415,3925
2021-06-15 04:47:10.995920,1,14215,5197,7006,720,937,355,4070
2021-06-15 05:02:14.881514,1,14072,5087,6957,728,937,363,3965
2021-06-15 05:17:21.781410,1,14141,5140,6979,713,962,347,3887
2021-06-15 05:32:24.459207,1,13732,4822,6842,702,963,403,3879
2021-06-15 05:47:26.932833,1,14000,5063,6874,688,964,411,3566
2021-06-15 06:02:29.095991,1,13770,4805,6852,691,965,457,3302
2021-06-15 06:17:38.088942,1,14250,5298,6908,640,931,473,3272
2021-06-15 06:32:45.079020,1,14294,5502,6804,623,925,440,3272
2021-06-15 06:47:47.185084,1,14118,5430,6770,635,924,359,3264
2021-06-15 07:02:49.021095,1,14508,5795,6802,626,926,359,3390
2021-06-15 07:17:50.280362,1,14487,5722,6831,646,927,361,3338
2021-06-15 07:32:52.551212,1,14406,5396,6932,634,927,517,3500
2021-06-15 07:47:58.070629,1,14298,5410,6978,595,926,389,3562
2021-06-15 08:03:03.567528,1,14379,5313,6903,587,926,650,3541
2021-06-15 08:18:05.219441,1,14277,5344,6986,611,974,362,3534
2021-06-15 08:33:06.659660,1,14427,5296,7199,603,977,352,3530
2021-06-15 08:48:08.650741,1,14462,5246,7244,635,976,361,3401
2021-06-15 09:03:16.077144,1,14166,4935,7228,579,1073,351,3573
2021-06-15 09:18:19.854669,1,14600,5193,7596,556,849,406,3645
2021-06-15 09:33:21.136755,1,14817,5394,7456,580,945,442,3085
2021-06-15 09:48:24.014296,1,14742,5545,7247,600,942,408,3084
2021-06-15 10:03:26.323351,1,15081,5938,7211,596,942,394,3164
2021-06-15 10:18:27.880808,1,14574,5539,7178,602,914,341,3308
2021-06-15 10:33:29.432746,1,14739,5458,7468,614,907,292,3449
2021-06-15 10:48:35.537590,1,14385,5162,7449,602,908,264,3600
2021-06-15 11:03:38.128747,1,14382,5031,7437,593,911,410,3767
2021-06-15 11:18:40.561550,1,13832,4650,7319,625,910,328,3862
2021-06-15 11:33:43.256798,1,14269,5092,7332,593,909,343,3433
2021-06-15 11:48:46.577661,1,14496,5550,7183,582,910,271,3601
2021-06-15 12:03:53.342538,1,14359,5378,7088,578,909,406,3641
2021-06-15 12:19:02.543516,1,14411,5446,6994,570,908,493,3745
2021-06-15 12:34:05.542357,1,14765,5394,7291,562,1038,480,3713
2021-06-15 12:49:10.826485,1,14967,5598,7250,607,1033,479,3778
2021-06-15 13:04:15.891012,1,14793,5584,7073,636,1032,468,3754
2021-06-15 13:19:21.820305,1,14611,5550,6931,628,1017,485,3826
2021-06-15 13:34:28.790960,1,14400,5356,6845,692,1018,489,3793
2021-06-15 13:49:36.086529,1,14277,5250,6854,663,1020,490,3917
2021-06-15 14:04:54.846596,1,14324,5105,7093,621,1021,484,3917
2021-06-15 14:20:03.887488,1,14079,4754,7252,650,1001,422,3881
2021-06-15 14:35:12.056189,1,14167,4881,7259,623,1001,403,3825
2021-06-15 14:50:18.748770,1,14119,4785,7312,627,1001,394,4129
2021-06-15 15:05:24.276017,1,13818,4594,7284,610,968,362,3993
2021-06-15 15:20:30.434880,1,14142,4917,7297,602,968,358,3651
2021-06-15 15:35:34.472905,1,14291,5127,7354,601,840,369,3674
2021-06-15 15:50:40.485700,1,14116,4928,7408,600,840,340,3862
2021-06-15 16:05:48.925832,1,13737,4548,7435,599,840,315,4182
2021-06-15 16:20:53.676338,1,13859,4649,7461,597,842,310,4373
2021-06-15 16:35:58.041190,1,13815,4669,7436,582,826,302,4437
2021-06-15 16:51:02.038251,1,13742,4656,7353,610,825,298,4437
2021-06-15 17:06:04.862646,1,14064,4897,7316,620,827,404,4279
2021-06-15 17:21:06.697279,1,14004,4805,7403,621,827,348,4339
2021-06-15 17:36:18.906124,1,13848,4697,7410,578,826,337,4075
2021-06-15 17:51:20.686402,1,14055,4806,7520,586,826,317,4199
2021-06-15 18:06:32.999063,1,13814,4606,7508,586,803,311,4324
2021-06-15 18:21:34.742207,1,13744,4547,7476,618,803,300,4386
2021-06-15 18:36:37.186278,1,13688,4516,7456,619,803,294,4470
2021-06-15 18:51:43.212759,1,13675,4581,7423,587,804,280,4527
2021-06-15 19:06:48.714967,1,13663,4560,7442,587,804,270,4274
2021-06-15 19:21:53.294825,1,13673,4559,7446,592,806,270,4510
2021-06-15 19:37:02.032037,1,13604,4492,7419,617,806,270,4531
2021-06-15 19:52:04.786492,1,13446,4382,7402,590,806,266,4464
2021-06-15 20:07:07.730991,1,13410,4303,7465,582,796,264,4525
2021-06-15 20:22:11.438742,1,13343,4363,7420,598,700,262,4417
2021-06-15 20:37:15.926678,1,13063,4161,7302,606,732,262,4525
2021-06-15 20:52:20.924117,1,13230,4243,7372,622,732,261,4336
2021-06-15 21:07:29.068432,1,13262,4326,7314,629,732,261,4387
2021-06-15 21:22:32.829796,1,13347,4345,7414,629,700,259,4395
2021-06-15 21:37:35.031928,1,13197,4184,7469,593,700,251,4177
2021-06-15 21:52:40.372815,1,13630,4647,7459,577,700,247,3855
2021-06-15 22:07:55.498919,1,13657,4696,7453,569,700,239,3966
2021-06-15 22:22:57.561150,1,13508,4562,7435,578,700,233,4039
2021-06-15 22:38:00.851368,1,13675,4631,7537,582,700,225,4037
2021-06-15 22:53:08.480970,1,13726,4608,7615,578,712,213,4047
2021-06-15 23:08:16.007009,1,13354,4376,7571,594,652,161,4295
2021-06-15 23:23:25.422364,1,13195,4308,7473,602,652,160,4068
2021-06-15 23:38:31.970175,1,13342,4334,7585,611,652,160,4268
2021-06-15 23:53:39.083148,1,13325,4391,7513,613,652,156,4267
2021-06-16 00:08:52.097438,2,13086,4237,7425,617,652,155,4399
2021-06-16 00:23:55.893885,2,12996,4181,7467,557,652,139,4510
2021-06-16 00:39:02.890304,2,12914,4172,7412,541,652,137,4132
2021-06-16 00:54:05.653131,2,13170,4285,7518,582,652,133,4420
2021-06-16 01:09:10.137536,2,13091,4235,7510,565,652,129,4420
2021-06-16 01:24:14.580862,2,13280,4211,7691,601,652,125,4409
2021-06-16 01:39:17.859521,2,13186,4222,7602,585,652,125,4389
2021-06-16 01:54:19.533663,2,13269,4218,7677,609,652,113,4420
2021-06-16 02:09:22.079313,2,13266,4257,7634,601,652,122,4408
2021-06-16 02:24:28.256643,2,13277,4251,7639,612,652,123,4407
2021-06-16 02:39:30.259549,2,13371,4247,7742,613,652,117,4410
2021-06-16 02:54:34.504021,2,13299,4303,7583,645,646,122,4370
2021-06-16 03:09:39.673091,2,13267,4355,7527,627,640,118,4312
2021-06-16 03:24:48.221843,2,13351,4321,7521,627,640,242,4312
2021-06-16 03:39:50.637583,2,13566,4532,7554,631,640,209,4311
2021-06-16 03:54:54.690139,2,13586,4635,7519,639,640,153,4335
2021-06-16 04:09:58.458527,2,13555,4644,7493,639,640,139,4335
2021-06-16 04:25:04.925418,2,13500,4575,7491,639,640,155,4326
2021-06-16 04:40:09.260725,2,13288,4396,7456,631,640,165,4326
2021-06-16 04:55:15.780984,2,13315,4346,7533,629,640,167,4320
2021-06-16 05:10:20.784270,2,13168,4353,7377,629,640,169,4288
2021-06-16 05:25:26.231711,2,13293,4358,7520,623,640,152,4287
